ID,Treatment,Method,Soil_Type,soil_p_Sand,soil_P_Silt,soil_p_Clay,soil_p_TC,soil_p_TOC,soil_p_TN,pH,Bulk_Density,Specific_sa,CEC,extract_TOC,extract_TN
CF_fo_H2O_1_1,CF_fo_H2O,CF,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,183.526815,21.40208305
CF_fo_H2O_1_2,CF_fo_H2O,CF,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,183.526815,21.40208305
CF_fo_H2O_1_3,CF_fo_H2O,CF,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,183.526815,21.40208305
CF_fo_H2O_2_1,CF_fo_H2O,CF,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,183.526815,21.40208305
CF_fo_H2O_2_2,CF_fo_H2O,CF,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,183.526815,21.40208305
CF_fo_H2O_2_3,CF_fo_H2O,CF,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,183.526815,21.40208305
CF_fo_H2O_3_1,CF_fo_H2O,CF,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,183.526815,21.40208305
CF_fo_H2O_3_2,CF_fo_H2O,CF,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,183.526815,21.40208305
CF_fo_H2O_3_3,CF_fo_H2O,CF,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,183.526815,21.40208305
CF_gs_H2O_1_1,CF_gs_H2O,CF,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,251.3799695,42.83645225
CF_gs_H2O_1_2,CF_gs_H2O,CF,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,251.3799695,42.83645225
CF_gs_H2O_1_3,CF_gs_H2O,CF,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,251.3799695,42.83645225
CF_gs_H2O_2_1,CF_gs_H2O,CF,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,251.3799695,42.83645225
CF_gs_H2O_2_2,CF_gs_H2O,CF,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,251.3799695,42.83645225
CF_gs_H2O_2_3,CF_gs_H2O,CF,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,251.3799695,42.83645225
CF_gs_H2O_3_1,CF_gs_H2O,CF,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,251.3799695,42.83645225
CF_gs_H2O_3_2,CF_gs_H2O,CF,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,251.3799695,42.83645225
CF_gs_H2O_3_3,CF_gs_H2O,CF,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,251.3799695,42.83645225
CF_rc_H2O_1_1,CF_rc_H2O,CF,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,232.4313247,20.01474052
CF_rc_H2O_1_2,CF_rc_H2O,CF,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,232.4313247,20.01474052
CF_rc_H2O_1_3,CF_rc_H2O,CF,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,232.4313247,20.01474052
CF_rc_H2O_2_1,CF_rc_H2O,CF,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,232.4313247,20.01474052
CF_rc_H2O_2_2,CF_rc_H2O,CF,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,232.4313247,20.01474052
CF_rc_H2O_2_3,CF_rc_H2O,CF,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,232.4313247,20.01474052
CF_rc_H2O_3_1,CF_rc_H2O,CF,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,232.4313247,20.01474052
CF_rc_H2O_3_2,CF_rc_H2O,CF,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,232.4313247,20.01474052
CF_rc_H2O_3_3,CF_rc_H2O,CF,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,232.4313247,20.01474052
SH_fo_H2O_1_1,SH_fo_H2O,SH,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,163.6008492,18.22053893
SH_fo_H2O_1_2,SH_fo_H2O,SH,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,163.6008492,18.22053893
SH_fo_H2O_1_3,SH_fo_H2O,SH,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,163.6008492,18.22053893
SH_fo_H2O_2_1,SH_fo_H2O,SH,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,163.6008492,18.22053893
SH_fo_H2O_2_2,SH_fo_H2O,SH,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,163.6008492,18.22053893
SH_fo_H2O_2_3,SH_fo_H2O,SH,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,163.6008492,18.22053893
SH_fo_H2O_3_1,SH_fo_H2O,SH,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,163.6008492,18.22053893
SH_fo_H2O_3_2,SH_fo_H2O,SH,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,163.6008492,18.22053893
SH_fo_H2O_3_3,SH_fo_H2O,SH,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,163.6008492,18.22053893
SH_gs_H2O_1_1,SH_gs_H2O,SH,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,220.0469701,33.66993581
SH_gs_H2O_1_2,SH_gs_H2O,SH,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,220.0469701,33.66993581
SH_gs_H2O_1_3,SH_gs_H2O,SH,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,220.0469701,33.66993581
SH_gs_H2O_2_1,SH_gs_H2O,SH,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,220.0469701,33.66993581
SH_gs_H2O_2_2,SH_gs_H2O,SH,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,220.0469701,33.66993581
SH_gs_H2O_2_3,SH_gs_H2O,SH,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,220.0469701,33.66993581
SH_gs_H2O_3_1,SH_gs_H2O,SH,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,220.0469701,33.66993581
SH_gs_H2O_3_2,SH_gs_H2O,SH,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,220.0469701,33.66993581
SH_gs_H2O_3_3,SH_gs_H2O,SH,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,220.0469701,33.66993581
SH_rc_H2O_1_1,SH_rc_H2O,SH,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,207.646917,17.92897364
SH_rc_H2O_1_2,SH_rc_H2O,SH,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,207.646917,17.92897364
SH_rc_H2O_1_3,SH_rc_H2O,SH,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,207.646917,17.92897364
SH_rc_H2O_2_1,SH_rc_H2O,SH,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,207.646917,17.92897364
SH_rc_H2O_2_2,SH_rc_H2O,SH,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,207.646917,17.92897364
SH_rc_H2O_2_3,SH_rc_H2O,SH,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,207.646917,17.92897364
SH_rc_H2O_3_1,SH_rc_H2O,SH,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,207.646917,17.92897364
SH_rc_H2O_3_2,SH_rc_H2O,SH,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,207.646917,17.92897364
SH_rc_H2O_3_3,SH_rc_H2O,SH,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,207.646917,17.92897364
SO_fo_H2O_1_1,SO_fo_H2O,SO,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,170.4688478,19.89998796
SO_fo_H2O_1_2,SO_fo_H2O,SO,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,170.4688478,19.89998796
SO_fo_H2O_1_3,SO_fo_H2O,SO,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,170.4688478,19.89998796
SO_fo_H2O_2_1,SO_fo_H2O,SO,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,170.4688478,19.89998796
SO_fo_H2O_2_2,SO_fo_H2O,SO,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,170.4688478,19.89998796
SO_fo_H2O_2_3,SO_fo_H2O,SO,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,170.4688478,19.89998796
SO_fo_H2O_3_1,SO_fo_H2O,SO,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,170.4688478,19.89998796
SO_fo_H2O_3_2,SO_fo_H2O,SO,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,170.4688478,19.89998796
SO_fo_H2O_3_3,SO_fo_H2O,SO,fo,72.764,17.488,9.748,1.19,1.17,0.1,6.206666667,1.470406344,3.2966,7.63,170.4688478,19.89998796
SO_gs_H2O_1_1,SO_gs_H2O,SO,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,264.2974353,39.09286771
SO_gs_H2O_1_2,SO_gs_H2O,SO,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,264.2974353,39.09286771
SO_gs_H2O_1_3,SO_gs_H2O,SO,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,264.2974353,39.09286771
SO_gs_H2O_2_1,SO_gs_H2O,SO,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,264.2974353,39.09286771
SO_gs_H2O_2_2,SO_gs_H2O,SO,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,264.2974353,39.09286771
SO_gs_H2O_2_3,SO_gs_H2O,SO,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,264.2974353,39.09286771
SO_gs_H2O_3_1,SO_gs_H2O,SO,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,264.2974353,39.09286771
SO_gs_H2O_3_2,SO_gs_H2O,SO,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,264.2974353,39.09286771
SO_gs_H2O_3_3,SO_gs_H2O,SO,gs,63.51059212,26.28263653,10.20677135,2.5,2.55,0.21,6.27,1.337712574,4.03915,13,264.2974353,39.09286771
SO_rc_H2O_1_1,SO_rc_H2O,SO,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,184.6100946,17.72004681
SO_rc_H2O_1_2,SO_rc_H2O,SO,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,184.6100946,17.72004681
SO_rc_H2O_1_3,SO_rc_H2O,SO,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,184.6100946,17.72004681
SO_rc_H2O_2_1,SO_rc_H2O,SO,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,184.6100946,17.72004681
SO_rc_H2O_2_2,SO_rc_H2O,SO,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,184.6100946,17.72004681
SO_rc_H2O_2_3,SO_rc_H2O,SO,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,184.6100946,17.72004681
SO_rc_H2O_3_1,SO_rc_H2O,SO,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,184.6100946,17.72004681
SO_rc_H2O_3_2,SO_rc_H2O,SO,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,184.6100946,17.72004681
SO_rc_H2O_3_3,SO_rc_H2O,SO,rc,50.38858895,19.90535226,29.70605879,1.64,1.58,0.13,6.566666667,1.279109046,16.30845,19,184.6100946,17.72004681
